t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
,,p_u p_l,min_filter,730.0,,
,,p_u p_l,max_filter,820.0,,

2025-03-01T16:00:00+00:00,2025-06-01T00:00:00+00:00,p_l,min_filter,766.6,,

,,t_i_.*($),min_filter,-40.0,outlier removal (bav),
,,t_i_10,max_filter,-20,outlier removal (bav),
,,t_i_11,max_filter,-20,outlier removal (bav),

,2023-06-08T16:00:00+00:00,tilt_y,min_filter,-2.5,,
,2023-06-08T16:00:00+00:00,tilt_x,max_filter,5,,

2025-03-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,p_u,min_filter,765,,
2025-07-01T00:00:00+00:00,2025-11-01T00:00:00+00:00,p_u,min_filter,760,,

,,z_boom_cor_u,max_filter,4,,
,2022-07-09T00:00:00+00:00,z_boom_cor_u,min_filter,3.72,,
,2022-07-09T00:00:00+00:00,z_boom_cor_l,min_filter,2,,
,,z_boom_cor_u,min_filter,2,outlier removal (bav),
,,z_boom_cor_l,min_filter,0.9,outlier removal (bav),

2025-06-08T16:00:00+00:00,,z_surf_1,add,1.5, mast raise (bav),
2025-06-08T16:00:00+00:00,,z_surf_2,add,1.5, mast raise (bav),
