t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
,2023-06-08T12:00:00+00:00,z_boom_u,max_filter,2.8, maximum height of the boom on tripod AWS (changed for a mast in 2023),
,,z_stake,max_filter,3.5,manually adjusted by bav,
2014-12-01T00:00:00+00:00,2015-02-01T00:00:00+00:00,z_stake,min_filter,1.4,manually adjusted by bav,
2019-10-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,z_stake,min_filter,1.37,manually adjusted by bav,
2017-02-01T00:00:00+00:00,2017-03-01T00:00:00+00:00,z_stake,min_filter,1.11,manually adjusted by bav,

2013-11-01T00:00:00+00:00,2014-02-01T00:00:00+00:00,z_boom_u,min_filter,1.4,manually adjusted by bav,
2014-12-01T00:00:00+00:00,2015-03-01T00:00:00+00:00,z_boom_u,min_filter,0.76,manually adjusted by bav,
2020-10-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,z_boom_u,min_filter,1.04,manually adjusted by bav,

,,gps_alt,min_filter,1700, removing noise (bav),
,,gps_lat,max_filter,68, removing noise (bav),
,,gps_lat,min_filter,66.998, removing noise (bav),
