t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
,,z_boom_cor_u,max_filter,2.8, maximum height of the boom on tripod AWS,
,,precip_u,max_filter,100,,
,,t_i_.*($),min_filter,-30.0,,
2025-01-13T00:00:00+00:00,2025-05-01T00:00:00+00:00,t_u,max_filter,-13.0, outliers (bav),
2025-01-13T00:00:00+00:00,2025-05-01T00:00:00+00:00,t_u,min_filter,-35.0, outliers (bav),

,2025-02-01T00:00:00+00:00,z_stake,max_filter,0.8, outliers (bav),
2025-02-01T00:00:00+00:00,2025-07-11T00:00:00+00:00,z_stake,max_filter,2.5, outliers (bav),
2025-08-01T00:00:00+00:00,2026-03-11T00:00:00+00:00,z_stake,max_filter,4.05, outliers (bav),
2025-09-20T00:00:00+00:00,2026-03-11T00:00:00+00:00,z_stake,min_filter,3.87, outliers (bav),
