t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
,,z_boom_cor_u,max_filter,2.8, maximum height of the boom on tripod AWS,
,,t_i_.*($),min_filter,-20.0,,
2014-02-05T00:00:00+00:00,2014-03-14T00:00:00+00:00,p_u,max_filter,905.0, filtered by bav, https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/35
2013-01-01T00:00:00+00:00,2016-01-01T00:00:00+00:00,z_stake_cor,max_filter,2.26, filtered by bav, 
2016-09-01T00:00:00+00:00,2021-07-01T00:00:00+00:00,z_stake_cor,max_filter,2.37, filtered by bav, 
2017-11-26T00:00:00+00:00,,z_ice_surf,add,-2.0,manually adjusted by bav,
2018-05-05T00:00:00+00:00,,z_ice_surf,add,2.5,manually adjusted by bav,
2019-05-05T00:00:00+00:00,,z_ice_surf,add,-0.28,manually adjusted by bav,
2022-01-01T00:00:00+00:00,,z_ice_surf,add,0.6,manually adjusted by bav,
2023-07-01T00:00:00+00:00,,z_ice_surf,add,-1.3,manually adjusted by bav,
2016-08-12T00:00:00+00:00,,z_surf_2,add,-3.0,manually adjusted by bav,
2023-08-11T01:00:00+00:00,,z_surf_2,add,-0.5,manually adjusted by bav,
