t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
,,z_boom_u,max_filter,2.8, maximum height of the boom on tripod AWS,

,,t_i_.*($),min_filter,-20.0,,
,,p_u,min_filter,900,filtered by bav,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/37
,,p_u,max_filter,1028,filtered by bav,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/37
,,gps_alt,min_filter,100,,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/158
,,gps_alt,max_filter,400,,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/158
,,gps_lat,min_filter,65.2,,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/158
,,gps_lon,min_filter,38.8970,,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/158

,2011-01-01T00:00:00+00:00,z_stake,max_filter,2,manually adjusted by bav,
2011-08-15T00:00:00+00:00,2012-05-01T00:00:00+00:00,z_stake,max_filter,2,manually adjusted by bav,
2012-09-05T00:00:00+00:00,2013-06-01T00:00:00+00:00,z_stake,max_filter,1,manually adjusted by bav,
2013-08-27T00:00:00+00:00,2014-05-01T00:00:00+00:00,z_stake,max_filter,1,manually adjusted by bav,

2013-06-07T12:00:00+00:00,,z_ice_surf,add,-3.1,manually adjusted by bav,
2014-08-03T00:00:00+00:00,,z_ice_surf,add,-5.0,manually adjusted by bav,
2015-07-03T00:00:00+00:00,,z_ice_surf,add,-3.0,manually adjusted by bav,
2016-01-03T00:00:00+00:00,,z_ice_surf,add,-3.0,manually adjusted by bav,
2017-07-28T00:00:00+00:00,,z_ice_surf,add,-3.36,manually adjusted by bav,
2018-09-28T18:00:00+00:00,,z_ice_surf,add,1.29,manually adjusted by bav,
2019-05-01T00:00:00+00:00,,z_ice_surf,add,-1.135,manually adjusted by bav,
2020-08-19T12:00:00+00:00,,z_ice_surf,add,-5.0,manually adjusted by bav,
2020-12-02T12:00:00+00:00,,z_ice_surf,add,0.7,manually adjusted by bav,
2021-09-08T12:00:00+00:00,,z_ice_surf,add,-10.1,manually adjusted by bav,
2023-08-10T12:00:00+00:00,,z_ice_surf,add,-8,manually adjusted by bav,
2024-05-01T12:00:00+00:00,,z_ice_surf,add,1.3,manually adjusted by bav,

2024-09-07T12:00:00+00:00,2024-09-09T12:00:00+00:00,z_pt_cor,add,0.6,manually adjusted by bav,
2024-09-11T12:00:00+00:00,2024-12-11T12:00:00+00:00,z_pt_cor,add,-1,manually adjusted by bav,

2009-08-10T00:00:00+00:00,,z_surf_2,add,-3.5,manually adjusted by bav,
2010-06-10T00:00:00+00:00,,z_surf_2,add,-4.0,manually adjusted by bav,
2011-08-10T00:00:00+00:00,,z_surf_2,add,-3.4,manually adjusted by bav,
2012-09-05T00:00:00+00:00,,z_surf_2,add,-4.0,manually adjusted by bav,
2013-08-28T00:00:00+00:00,,z_surf_2,add,-2.5,manually adjusted by bav,
2014-08-06T00:00:00+00:00,,z_surf_2,add,-2.3,manually adjusted by bav,
2012-10-03T00:00:00+00:00,,z_surf_2,add,-1.0,manually adjusted by bav,
2013-08-27T00:00:00+00:00,,z_surf_2,add,-0.5,manually adjusted by bav,
