t0,t1,variable,flag,comment,URL_graphic
2021-12-08T00:00:00+00:00,2021-12-21T00:00:00+00:00,t_i_11,NAN,flagged by bav,
2023-10-04T00:00:00+00:00,2025-05-11T00:00:00+00:00,t_i_.*($),CONFIRMED,constant ice temperature after that date (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/86
,2021-08-22T00:00:00+00:00,t_i_.*($),CONFIRMED,percolation along string (bav),

2022-12-23T00:00:00+00:00,2022-12-28T00:00:00+00:00,p_u p_i p_l,NAN,flagged by bav,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/21
2022-12-30T20:00:00+00:00,2023-04-04T00:00:00+00:00,p_u p_i p_l,NAN,flagged by bav,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/21
2023-12-23T00:00:00+00:00,2024-01-04T00:00:00+00:00,p_i p_l,NAN,suspicious values for lower luft pressure (maclu),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/140
2024-01-23T00:00:00+00:00,2024-02-07T03:00:00+00:00,p_i p_l,NAN,Suspicious values for lower luft pressure (maclu),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/140
2024-02-12T07:00:00+00:00,2024-02-16T23:00:00+00:00,p_i p_l,NAN,Suspicious values for lower luft pressure (maclu),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/140
2024-02-09T10:00:00+00:00,2024-02-10T16:00:00+00:00,p_i p_l,NAN,Suspicious values for lower luft pressure (maclu),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/140
2024-02-28T00:00:00+00:00,2024-03-01T11:00:00+00:00,p_i p_l,NAN,Suspicious values for lower luft pressure (maclu),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/140
2024-12-23T22:00:00+00:00,2025-01-19T21:00:00+00:00,p_i p_l p_u,NAN,Suspicious values for lower luft pressure (maclu),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/140

2021-10-21T00:00:00+00:00,2021-10-24T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2021-10-27T00:00:00+00:00,2021-10-31T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2021-11-10T00:00:00+00:00,2021-11-12T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2021-11-23T00:00:00+00:00,2021-11-25T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2022-09-24T00:00:00+00:00,2022-09-26T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2022-10-09T00:00:00+00:00,2022-10-11T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2022-10-31T00:00:00+00:00,2022-11-03T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2022-12-23T00:00:00+00:00,2022-12-28T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2023-04-04T00:00:00+00:00,2023-04-09T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2023-10-18T00:00:00+00:00,2023-10-20T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2023-11-15T00:00:00+00:00,2023-12-01T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2023-12-08T00:00:00+00:00,2023-12-10T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2024-01-14T00:00:00+00:00,2024-01-16T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2024-03-14T00:00:00+00:00,2024-03-28T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
